id,name,score,prefecture_id
1,相生高等学校,58.0,28
2,相生産業高等学校,43.0,28
3,愛川高等学校,38.0,28
4,愛光高等学校,75.0,28
5,愛国学園大学附属四街道高等学校,39.0,28
6,愛国学園大学附属龍ヶ崎高等学校,39.0,28
7,愛国高等学校,51.0,28
8,愛知教育大学附属高等学校,54.0,28
9,愛知啓成高等学校,59.0,28
10,愛知工業大学名電高等学校,65.0,28
11,愛知高等学校,65.0,28
12,愛知産業大学工業高等学校,41.0,28
13,愛知産業大学三河高等学校,42.0,28
14,愛知淑徳高等学校,52.0,28
15,愛知商業高等学校,50.0,28
16,愛知総合工科高等学校,47.0,28
17,愛知みずほ大学瑞穂高等学校,46.0,28
18,会津学鳳高等学校,52.0,7
19,会津工業高等学校,47.0,7
20,会津高等学校,66.0,7
21,会津農林高等学校,39.0,7
22,会津北嶺高等学校,41.0,7
23,会津若松ザベリオ学園高等学校,52.0,7
24,愛徳学園高等学校,58.0,7
25,愛農学園農業高等学校,37.0,7
26,藍野高等学校,47.0,7
27,相原高等学校,45.0,7
28,葵高等学校,59.0,7
29,青井高等学校,40.0,7
30,青森明の星高等学校,49.0,7
31,青森北高等学校,55.0,7
32,青森北高等学校今別校舎,43.0,7
33,青森工業高等学校,54.0,7
34,青森高等学校,71.0,7
35,青森商業高等学校,47.0,7
36,青森西高等学校,53.0,2
37,青森東高等学校,63.0,2
38,青森南高等学校,62.0,2
39,青森山田高等学校,56.0,2
40,青谷高等学校,39.0,2
41,青山学院高等部,72.0,2
42,青山学院横浜英和高等学校,56.0,2
43,青山高等学校,71.0,2
44,青山高等学校,46.0,2
45,明石北高等学校,69.0,2
46,明石工業高等専門学校,69.0,2
47,明石高等学校,53.0,2
48,明石清水高等学校,45.0,2
49,明石市立明石商業高等学校,46.0,2
50,明石城西高等学校,60.0,2
51,明科高等学校,38.0,2
52,明石西高等学校,60.0,2
53,明石南高等学校,48.0,2
54,【閉校】赤羽商業高等学校,38.0,13
55,赤穂高等学校,50.0,13
56,阿寒高等学校,42.0,13
57,阿賀野高等学校,37.0,13
58,阿賀黎明高等学校,37.0,13
59,秋草学園高等学校,56.0,13
60,安芸高等学校,46.0,13
61,安芸高等学校,42.0,13
