id,name,faculty,department,domain,url
1,早稲田大学,政治経済,政治,waseda,https://passnavi.evidus.com/search_univ/3190/difficulty.html
2,早稲田大学,政治経済,経済,waseda,https://passnavi.evidus.com/search_univ/3190/difficulty.html
3,早稲田大学,政治経済,国際政治経済,waseda,https://passnavi.evidus.com/search_univ/3190/difficulty.html
4,早稲田大学,法,,waseda,https://passnavi.evidus.com/search_univ/3190/difficulty.html
5,早稲田大学,教育,,waseda,https://passnavi.evidus.com/search_univ/3190/difficulty.html
6,早稲田大学,商,,waseda,https://passnavi.evidus.com/search_univ/3190/difficulty.html
7,早稲田大学,社会科,社会科,waseda,https://passnavi.evidus.com/search_univ/3190/difficulty.html
8,早稲田大学,国際教養,国際教養,waseda,https://passnavi.evidus.com/search_univ/3190/difficulty.html
9,早稲田大学,文化構想,文化構想,waseda,https://passnavi.evidus.com/search_univ/3190/difficulty.html
10,早稲田大学,文,文,waseda,https://passnavi.evidus.com/search_univ/3190/difficulty.html
11,早稲田大学,基幹理工,,waseda,https://passnavi.evidus.com/search_univ/3190/difficulty.html
12,早稲田大学,創造理工,,waseda,https://passnavi.evidus.com/search_univ/3190/difficulty.html
13,早稲田大学,先進理工,,waseda,https://passnavi.evidus.com/search_univ/3190/difficulty.html
14,早稲田大学,人間科,人間環境科,waseda,https://passnavi.evidus.com/search_univ/3190/difficulty.html
15,早稲田大学,人間科,健康福祉科,waseda,https://passnavi.evidus.com/search_univ/3190/difficulty.html
16,早稲田大学,人間科,人間情報科,waseda,https://passnavi.evidus.com/search_univ/3190/difficulty.html
17,早稲田大学,スポーツ科,,waseda,https://passnavi.evidus.com/search_univ/3190/difficulty.html
18,慶應大学,文,人文社会,keio,https://passnavi.evidus.com/search_univ/2370/difficulty.html
19,慶應大学,経済,経済,keio,https://passnavi.evidus.com/search_univ/2370/difficulty.html
20,慶應大学,法,法律,keio,https://passnavi.evidus.com/search_univ/2370/difficulty.html
21,慶應大学,法,政治,keio,https://passnavi.evidus.com/search_univ/2370/difficulty.html
22,慶應大学,商,商,keio,https://passnavi.evidus.com/search_univ/2370/difficulty.html
23,慶應大学,医,医,keio,https://passnavi.evidus.com/search_univ/2370/difficulty.html
24,慶應大学,理工,,keio,https://passnavi.evidus.com/search_univ/2370/difficulty.html
25,慶應大学,総合政策,総合政策,keio,https://passnavi.evidus.com/search_univ/2370/difficulty.html
26,慶應大学,環境情報,環境情報,keio,https://passnavi.evidus.com/search_univ/2370/difficulty.html
27,慶應大学,看護医療,看護,keio,https://passnavi.evidus.com/search_univ/2370/difficulty.html
28,慶應大学,薬,薬,keio,https://passnavi.evidus.com/search_univ/2370/difficulty.html
29,慶應大学,薬,薬科,keio,https://passnavi.evidus.com/search_univ/2370/difficulty.html
30,上智大学,神,神,sophia,https://passnavi.evidus.com/search_univ/2470/difficulty.html
31,上智大学,文,,sophia,https://passnavi.evidus.com/search_univ/2470/difficulty.html
32,上智大学,総合人間科,,sophia,https://passnavi.evidus.com/search_univ/2470/difficulty.html
33,上智大学,法,法律,sophia,https://passnavi.evidus.com/search_univ/2470/difficulty.html
34,上智大学,法,国際関係法,sophia,https://passnavi.evidus.com/search_univ/2470/difficulty.html
35,上智大学,法,地球環境法,sophia,https://passnavi.evidus.com/search_univ/2470/difficulty.html
36,上智大学,経済,経済,sophia,https://passnavi.evidus.com/search_univ/2470/difficulty.html
37,上智大学,経済,経営,sophia,https://passnavi.evidus.com/search_univ/2470/difficulty.html
38,上智大学,外国語,,sophia,https://passnavi.evidus.com/search_univ/2470/difficulty.html
39,上智大学,総合グローバル,総合グローバル,sophia,https://passnavi.evidus.com/search_univ/2470/difficulty.html
40,上智大学,理工,物質生命理工,sophia,https://passnavi.evidus.com/search_univ/2470/difficulty.html
41,上智大学,理工,機能創造理工,sophia,https://passnavi.evidus.com/search_univ/2470/difficulty.html
42,上智大学,理工,情報理工,sophia,https://passnavi.evidus.com/search_univ/2470/difficulty.html
43,東京理科大学,理第一部,,tus,https://passnavi.evidus.com/search_univ/2880/difficulty.html
44,東京理科大学,工,,tus,https://passnavi.evidus.com/search_univ/2880/difficulty.html
45,東京理科大学,薬,薬,tus,https://passnavi.evidus.com/search_univ/2880/difficulty.html
46,東京理科大学,薬,生命創薬科,tus,https://passnavi.evidus.com/search_univ/2880/difficulty.html
47,東京理科大学,創域理工,,tus,https://passnavi.evidus.com/search_univ/2880/difficulty.html
48,東京理科大学,先進工,,tus,https://passnavi.evidus.com/search_univ/2880/difficulty.html
49,東京理科大学,経営,経営,tus,https://passnavi.evidus.com/search_univ/2880/difficulty.html
50,東京理科大学,経営,ビジネスエコノミクス,tus,https://passnavi.evidus.com/search_univ/2880/difficulty.html
51,東京理科大学,経営,国際デザイン経営,tus,https://passnavi.evidus.com/search_univ/2880/difficulty.html
52,学習院大学,法,法,gakushuin,https://passnavi.evidus.com/search_univ/2310/difficulty.html
53,学習院大学,法,政治,gakushuin,https://passnavi.evidus.com/search_univ/2310/difficulty.html
54,学習院大学,経済,経済,gakushuin,https://passnavi.evidus.com/search_univ/2310/difficulty.html
55,学習院大学,経済,経営,gakushuin,https://passnavi.evidus.com/search_univ/2310/difficulty.html
56,学習院大学,文,,gakushuin,https://passnavi.evidus.com/search_univ/2310/difficulty.html
57,学習院大学,理,,gakushuin,https://passnavi.evidus.com/search_univ/2310/difficulty.html
58,学習院大学,国際社会科,国際社会科,gakushuin,https://passnavi.evidus.com/search_univ/2310/difficulty.html
59,明治大学,法,法,meiji,https://passnavi.evidus.com/search_univ/3120/difficulty.html
60,明治大学,商,商,meiji,https://passnavi.evidus.com/search_univ/3120/difficulty.html
61,明治大学,政治経済,政治,meiji,https://passnavi.evidus.com/search_univ/3120/difficulty.html
62,明治大学,政治経済,経済,meiji,https://passnavi.evidus.com/search_univ/3120/difficulty.html
63,明治大学,政治経済,地域行政,meiji,https://passnavi.evidus.com/search_univ/3120/difficulty.html
64,明治大学,文,,meiji,https://passnavi.evidus.com/search_univ/3120/difficulty.html
65,明治大学,経営,,meiji,https://passnavi.evidus.com/search_univ/3120/difficulty.html
66,明治大学,情報コミュニケーション,情報コミュニケーション,meiji,https://passnavi.evidus.com/search_univ/3120/difficulty.html
67,明治大学,国際日本,国際日本,meiji,https://passnavi.evidus.com/search_univ/3120/difficulty.html
68,明治大学,理工,,meiji,https://passnavi.evidus.com/search_univ/3120/difficulty.html
69,明治大学,農,,meiji,https://passnavi.evidus.com/search_univ/3120/difficulty.html
70,明治大学,総合数理,現象数理,meiji,https://passnavi.evidus.com/search_univ/3120/difficulty.html
71,明治大学,総合数理,先端メディアサイエンス,meiji,https://passnavi.evidus.com/search_univ/3120/difficulty.html
72,明治大学,総合数理,ネットワークデザイン,meiji,https://passnavi.evidus.com/search_univ/3120/difficulty.html
73,青山学院大学,文,,aoyama,https://passnavi.evidus.com/search_univ/2260/difficulty.html
74,青山学院大学,教育人間科,教育,aoyama,https://passnavi.evidus.com/search_univ/2260/difficulty.html
75,青山学院大学,教育人間科,心理,aoyama,https://passnavi.evidus.com/search_univ/2260/difficulty.html
76,青山学院大学,経済,経済,aoyama,https://passnavi.evidus.com/search_univ/2260/difficulty.html
77,青山学院大学,経済,現代経済デザイン,aoyama,https://passnavi.evidus.com/search_univ/2260/difficulty.html
78,青山学院大学,法,法,aoyama,https://passnavi.evidus.com/search_univ/2260/difficulty.html
79,青山学院大学,法,ヒューマンライツ,aoyama,https://passnavi.evidus.com/search_univ/2260/difficulty.html
80,青山学院大学,経営,経営,aoyama,https://passnavi.evidus.com/search_univ/2260/difficulty.html
81,青山学院大学,経営,マーケティング,aoyama,https://passnavi.evidus.com/search_univ/2260/difficulty.html
82,青山学院大学,国際政治経済,国際政治,aoyama,https://passnavi.evidus.com/search_univ/2260/difficulty.html
83,青山学院大学,国際政治経済,国際経済,aoyama,https://passnavi.evidus.com/search_univ/2260/difficulty.html
84,青山学院大学,国際政治経済,国際コミュニケーション,aoyama,https://passnavi.evidus.com/search_univ/2260/difficulty.html
85,青山学院大学,総合文化政策,総合文化政策,aoyama,https://passnavi.evidus.com/search_univ/2260/difficulty.html
86,青山学院大学,理工,,aoyama,https://passnavi.evidus.com/search_univ/2260/difficulty.html
87,青山学院大学,社会情報,社会情報,aoyama,https://passnavi.evidus.com/search_univ/2260/difficulty.html
88,青山学院大学,地域社会共生,地域社会共生,aoyama,https://passnavi.evidus.com/search_univ/2260/difficulty.html
89,青山学院大学,コミュニティ人間科,,aoyama,https://passnavi.evidus.com/search_univ/2260/difficulty.html
90,立教大学,文,,rikkyo,https://passnavi.evidus.com/search_univ/3160/difficulty.html
91,立教大学,異文化コミュニケーション,異文化コミュニケーション,rikkyo,https://passnavi.evidus.com/search_univ/3160/difficulty.html
92,立教大学,経済,経済,rikkyo,https://passnavi.evidus.com/search_univ/3160/difficulty.html
93,立教大学,経済,経済政策,rikkyo,https://passnavi.evidus.com/search_univ/3160/difficulty.html
94,立教大学,経済,会計ファイナンス,rikkyo,https://passnavi.evidus.com/search_univ/3160/difficulty.html
95,立教大学,経営,経営,rikkyo,https://passnavi.evidus.com/search_univ/3160/difficulty.html
96,立教大学,経営,国際経営,rikkyo,https://passnavi.evidus.com/search_univ/3160/difficulty.html
97,立教大学,理,,rikkyo,https://passnavi.evidus.com/search_univ/3160/difficulty.html
98,立教大学,社会,社会,rikkyo,https://passnavi.evidus.com/search_univ/3160/difficulty.html
99,立教大学,社会,現代文化,rikkyo,https://passnavi.evidus.com/search_univ/3160/difficulty.html
100,立教大学,社会,メディア社会,rikkyo,https://passnavi.evidus.com/search_univ/3160/difficulty.html
101,立教大学,法,法,rikkyo,https://passnavi.evidus.com/search_univ/3160/difficulty.html
102,立教大学,法,国際ビジネス法,rikkyo,https://passnavi.evidus.com/search_univ/3160/difficulty.html
103,立教大学,法,政治,rikkyo,https://passnavi.evidus.com/search_univ/3160/difficulty.html
104,立教大学,観光,観光,rikkyo,https://passnavi.evidus.com/search_univ/3160/difficulty.html
105,立教大学,観光,交流文化,rikkyo,https://passnavi.evidus.com/search_univ/3160/difficulty.html
106,立教大学,コミュニティ福祉,コミュニティ政策,rikkyo,https://passnavi.evidus.com/search_univ/3160/difficulty.html
107,立教大学,コミュニティ福祉,福祉,rikkyo,https://passnavi.evidus.com/search_univ/3160/difficulty.html
108,立教大学,現代心理,心理,rikkyo,https://passnavi.evidus.com/search_univ/3160/difficulty.html
109,立教大学,現代心理,映像心理,rikkyo,https://passnavi.evidus.com/search_univ/3160/difficulty.html
110,立教大学,スポーツウエルネス,スポーツウエルネス,rikkyo,https://passnavi.evidus.com/search_univ/3160/difficulty.html
111,中央大学,法,法律,chuo-u,https://passnavi.evidus.com/search_univ/2680/difficulty.html
112,中央大学,法,国際企業関係法,chuo-u,https://passnavi.evidus.com/search_univ/2680/difficulty.html
113,中央大学,法,政治,chuo-u,https://passnavi.evidus.com/search_univ/2680/difficulty.html
114,中央大学,経済,,chuo-u,https://passnavi.evidus.com/search_univ/2680/difficulty.html
115,中央大学,商,,chuo-u,https://passnavi.evidus.com/search_univ/2680/difficulty.html
116,中央大学,理工,,chuo-u,https://passnavi.evidus.com/search_univ/2680/difficulty.html
117,中央大学,文,,chuo-u,https://passnavi.evidus.com/search_univ/2680/difficulty.html
118,中央大学,総合政策,政策科学,chuo-u,https://passnavi.evidus.com/search_univ/2680/difficulty.html
119,中央大学,総合政策,国際政策文化,chuo-u,https://passnavi.evidus.com/search_univ/2680/difficulty.html
120,中央大学,国際経営,国際経営,chuo-u,https://passnavi.evidus.com/search_univ/2680/difficulty.html
121,中央大学,国際情報,国際情報,chuo-u,https://passnavi.evidus.com/search_univ/2680/difficulty.html
122,法政大学,法,法律,hosei,https://passnavi.evidus.com/search_univ/3050/difficulty.html
123,法政大学,法,政治,hosei,https://passnavi.evidus.com/search_univ/3050/difficulty.html
124,法政大学,法,国際政治,hosei,https://passnavi.evidus.com/search_univ/3050/difficulty.html
125,法政大学,文,,hosei,https://passnavi.evidus.com/search_univ/3050/difficulty.html
126,法政大学,経済,経済政策,hosei,https://passnavi.evidus.com/search_univ/3050/difficulty.html
